feature,drift_importance,adversarial_auc
device_first_seen_days_ago,0.2851050530581184,0.9891653467180603
receiver_first_seen_days_ago,0.05256534035845567,0.9891653467180603
device_label_n,0.019487675765326284,0.9891653467180603
device_tx_count_30d,0.00490886953877373,0.9891653467180603
account_first_seen_days_ago,0.002700663013235516,0.9891653467180603
subnet_distinct_devices_all,0.0017509564007018308,0.9891653467180603
receiver_label_n,0.0017506347294596325,0.9891653467180603
device_fraud_rate_smoothed,0.0013148256567376837,0.9891653467180603
account_tx_count_all,0.0010201304303677494,0.9891653467180603
receiver_fraud_rate_smoothed,0.0007197560427550376,0.9891653467180603
DeviceModel,0.0004102972155759499,0.9891653467180603
subnet_tx_count_7d,0.00034494249283534284,0.9891653467180603
receiver_tx_count_all,0.0003156149492293814,0.9891653467180603
device_amount_max_prev,0.00026306052350899556,0.9891653467180603
receiver_distinct_senders_all,0.00023589594170447814,0.9891653467180603
device_amount_std_prev,0.00023047189903308007,0.9891653467180603
device_tx_count_all,0.00018803347927659475,0.9891653467180603
device_amount_mean_prev,0.00018131165952417483,0.9891653467180603
device_distinct_accounts_all,0.00015451311740927176,0.9891653467180603
dow,0.00015139623399273994,0.9891653467180603
UniqueIPCount,0.00010103804640920755,0.9891653467180603
CustomerTenure,9.027869796079946e-05,0.9891653467180603
receiver_distinct_devices_all,3.637103460041313e-05,0.9891653467180603
CustomerProfession,1.7913760560983594e-05,0.9891653467180603
DeviceParentBrand,1.3121968262364003e-05,0.9891653467180603
subnet_tx_count_all,8.762768323899994e-06,0.9891653467180603
device_tx_count_7d,8.219254845620583e-06,0.9891653467180603
receiver_tx_count_30d,6.233766832841603e-06,0.9891653467180603
amount_bucket,3.505107329437873e-06,0.9891653467180603
receiver_amount_max_prev,2.074224907000488e-06,0.9891653467180603
amount_cents,2.007672236181701e-06,0.9891653467180603
receiver_amount_mean_prev,1.841290559190245e-06,0.9891653467180603
device_amount_ratio_to_mean,1.6083562111579575e-06,0.9891653467180603
receiver_amount_std_prev,1.3754218634032256e-06,0.9891653467180603
hour,6.32250372556431e-07,0.9891653467180603
device_distinct_receivers_all,2.6621068316412533e-07,0.9891653467180603
CustomerSegment,1.5528956509580638e-07,0.9891653467180603
IsFractionalAmount,1.2201322974192408e-07,0.9891653467180603
is_weekend,0.0,0.9891653467180603
is_round_amount,0.0,0.9891653467180603
DayType_clean,0.0,0.9891653467180603
is_holiday,0.0,0.9891653467180603
amount_log,0.0,0.9891653467180603
TransactionType,0.0,0.9891653467180603
device_is_first_seen,0.0,0.9891653467180603
receiver_is_first_seen,0.0,0.9891653467180603
HasMobileActivationL8H,0.0,0.9891653467180603
account_is_first_seen,0.0,0.9891653467180603
device_tx_count_1d,0.0,0.9891653467180603
HasMobileActivationL1H,0.0,0.9891653467180603
receiver_tx_count_7d,-6.98803043763796e-07,0.9891653467180603
os_l8h,-7.653557144715606e-07,0.9891653467180603
receiver_amount_ratio_to_mean,-2.318251366817403e-06,0.9891653467180603
DeviceOSName,-2.3404355904976804e-06,0.9891653467180603
TransactionAmount,-6.07847726791233e-06,0.9891653467180603
os_l1h,-1.1713270063551384e-05,0.9891653467180603
