feature,shap_mean_abs
cat__DeviceModel,4.247130903604539
cat__os_l1h,3.2934992729988135
num__IsFractionalAmount,0.6831143556788443
num__device_tx_count_7d,0.6160086057082405
num__amount_cents,0.4764187907511312
num__account_tx_count_all,0.4554413821610267
num__is_round_amount,0.4539344877037588
num__device_amount_std_prev,0.261315817345776
num__device_amount_max_prev,0.2574815401813942
num__device_amount_mean_prev,0.16411829847098786
num__device_tx_count_all,0.13935304560729533
num__hour,0.08487009547522693
num__account_is_first_seen,0.07637153812913285
num__receiver_amount_mean_prev,0.0521653223634285
cat__os_l8h,0.05173282477792221
cat__TransactionType,0.04538339999632165
num__is_holiday,0.043880620849757475
num__device_tx_count_1d,0.04183921532871692
cat__DeviceParentBrand,0.036282532846946235
num__receiver_distinct_senders_all,0.03461316738370239
num__account_first_seen_days_ago,0.03373927870672858
num__device_tx_count_30d,0.025780372032239113
num__is_weekend,0.023270384968297263
num__subnet_distinct_devices_all,0.023122074422030608
num__subnet_tx_count_7d,0.022434016579494877
num__CustomerTenure,0.017033178844418496
num__device_amount_ratio_to_mean,0.015335784822882125
num__receiver_fraud_rate_smoothed,0.012728734270952152
num__dow,0.010168813768870334
num__receiver_amount_std_prev,0.0074601008015856
cat__DayType_clean,0.006365583179871571
num__receiver_label_n,0.004614387732739062
cat__CustomerSegment,0.004428325568270607
num__subnet_tx_count_all,0.003951383974084488
cat__DeviceOSName,0.003917780788168257
num__HasMobileActivationL8H,0.003234959985754315
num__device_first_seen_days_ago,0.0025645391084608907
num__receiver_is_first_seen,0.0025246261151697868
num__UniqueIPCount,0.0016597382362067412
num__amount_log,0.001295960744902181
cat__amount_bucket,0.001210771004917615
num__receiver_amount_ratio_to_mean,0.0011376748187981749
num__device_distinct_receivers_all,0.0010553935070624853
cat__CustomerProfession,0.0005038579710168036
num__receiver_distinct_devices_all,0.00047742660086252757
num__receiver_tx_count_all,0.0004265850398052988
num__receiver_tx_count_30d,0.0003817482573036921
num__receiver_first_seen_days_ago,0.00029432506055768144
num__device_fraud_rate_smoothed,0.00023500879642603348
num__HasMobileActivationL1H,5.9771274814069505e-05
num__TransactionAmount,1.4787105729587309e-05
num__device_label_n,0.0
num__device_distinct_accounts_all,0.0
num__device_is_first_seen,0.0
num__receiver_tx_count_7d,0.0
num__receiver_amount_max_prev,0.0
