feature,type,n_unique,variance,n_missing,is_low_signal
is_round_amount,num,1,0.0,0,True
HasMobileActivationL1H,num,2,0.0031948139006012584,0,False
device_fraud_rate_smoothed,num,4845,0.0003033315373139969,0,False
device_is_first_seen,num,2,0.018444508950915015,0,False
receiver_is_first_seen,num,2,0.14264534112731628,0,False
account_is_first_seen,num,2,0.05978071537977817,0,False
device_amount_mean_prev,num,654811,30301774.89755056,0,False
device_amount_std_prev,num,649020,49633932.801890254,0,False
device_amount_max_prev,num,41886,2557566946.1837664,0,False
device_amount_ratio_to_mean,num,674419,10.744059641080167,0,False
receiver_amount_mean_prev,num,564444,108038818.4670815,0,False
receiver_amount_std_prev,num,528809,112468045.22476582,0,False
receiver_amount_max_prev,num,142299,2389305356.5247264,0,False
receiver_amount_ratio_to_mean,num,569650,45.83467686113224,0,False
device_label_n,num,3303,71275.83127230401,0,False
account_tx_count_all,num,9055,356214.87554319785,0,False
receiver_fraud_rate_smoothed,num,5647,0.0003323022754176031,0,False
receiver_label_n,num,3803,94898.2054421958,0,False
TransactionType,cat,3,,0,False
DeviceOSName,cat,2,,0,False
CustomerSegment,cat,9,,0,False
CustomerProfession,cat,112,,0,False
DayType_clean,cat,3,,0,False
amount_bucket,cat,7,,0,False
os_l1h,cat,4,,0,False
os_l8h,cat,4,,0,False
DeviceModel,cat,101,,0,False
account_first_seen_days_ago,num,44098,6365.121805082101,0,False
subnet_distinct_devices_all,num,698,2505.985415259817,0,False
HasMobileActivationL8H,num,2,0.005222126481615775,0,False
device_tx_count_1d,num,24,1.4286566886290766,0,False
CustomerTenure,num,262,24.562760986916707,0,False
IsFractionalAmount,num,2,0.10215667643439955,0,False
TransactionAmount,num,691090,393593825.7108775,0,False
UniqueIPCount,num,681,14783.628232109,0,False
amount_log,num,691090,2.1901127122172834,0,False
amount_cents,num,100,836.6017916285567,0,False
hour,num,24,47.89846239209414,0,False
dow,num,7,3.993415848002152,0,False
is_weekend,num,2,0.2034813654417749,0,False
is_holiday,num,2,0.034143412403790846,0,False
device_tx_count_all,num,4291,73716.53656285662,0,False
device_tx_count_7d,num,112,47.55191773578492,0,False
subnet_tx_count_7d,num,49,2.878322755387845,0,False
device_tx_count_30d,num,389,786.9245856373284,0,False
device_distinct_accounts_all,num,4193,71131.05984455749,0,False
device_distinct_receivers_all,num,3312,53827.73560447185,0,False
device_first_seen_days_ago,num,666816,28335.44874114124,0,False
receiver_tx_count_all,num,5494,98098.05354742188,0,False
receiver_tx_count_7d,num,171,78.31864807828892,0,False
receiver_tx_count_30d,num,635,1318.9061140272559,0,False
receiver_distinct_senders_all,num,1763,19670.948661449,0,False
receiver_distinct_devices_all,num,2388,26468.573674005915,0,False
receiver_first_seen_days_ago,num,565070,32779.62743459997,0,False
subnet_tx_count_all,num,1013,3279.6168003047364,0,False
DeviceParentBrand,cat,13,,0,False
