number,value,params_C,params_max_iter,params_penalty,state,duration
0,0.7713036975335252,0.847180141881998,400,l1,COMPLETE,0 days 00:10:17.547109
1,0.7804664368585454,0.0017073967431528124,600,l2,COMPLETE,0 days 00:00:08.929785
2,0.7399827644877707,0.0012087541473056963,600,l1,COMPLETE,0 days 00:00:19.084842
3,0.7643177586368312,0.005337032762603957,200,l2,COMPLETE,0 days 00:00:09.665543
4,0.7637351368153323,0.05342937261279776,300,l1,COMPLETE,0 days 00:04:30.073924
5,0.760496848548085,0.01474275315991467,300,l2,COMPLETE,0 days 00:00:10.084449
6,0.7474967540981668,0.006290644294586149,400,l1,COMPLETE,0 days 00:01:39.548577
7,0.7667396440989279,0.26926469100861794,200,l2,COMPLETE,0 days 00:00:15.384757
8,0.7678775699162725,7.286653737491043,600,l1,COMPLETE,0 days 00:25:46.261581
9,0.7676926610052406,0.5456725485601478,400,l2,COMPLETE,0 days 00:00:17.351791
10,0.7874373675429809,0.0010567900894501681,500,l2,COMPLETE,0 days 00:00:08.891417
11,0.7873454999875182,0.0011431644766617714,500,l2,COMPLETE,0 days 00:00:09.572027
12,0.7874405928230479,0.0010550558461247964,500,l2,COMPLETE,0 days 00:00:09.202232
13,0.7600310008855847,0.02298917720037916,500,l2,COMPLETE,0 days 00:00:11.267415
14,0.7683731427071624,0.004794050803587169,500,l2,COMPLETE,0 days 00:00:09.791473
