bin_lo,bin_hi,n,avg_proba,fraction_positive,calibration
0.0,0.1,157609,0.0005940768127197918,0.0001459307526854431,uncalibrated
0.1,0.2,262,0.13982955955223667,0.011450381679389313,uncalibrated
0.2,0.30000000000000004,124,0.25128782834940977,0.04032258064516129,uncalibrated
0.30000000000000004,0.4,67,0.34231666230833224,0.04477611940298507,uncalibrated
0.4,0.5,61,0.445624132256368,0.06557377049180328,uncalibrated
0.5,0.6000000000000001,39,0.5398739097003921,0.15384615384615385,uncalibrated
0.6000000000000001,0.7000000000000001,33,0.6383398386623065,0.15151515151515152,uncalibrated
0.7000000000000001,0.8,38,0.7508784574476839,0.02631578947368421,uncalibrated
0.8,0.9,34,0.8497313718399184,0.17647058823529413,uncalibrated
0.9,1.0,207,0.9881217369454764,0.8792270531400966,uncalibrated
0.0,0.1,158155,0.0002421552862701446,0.0002782080870032563,platt
0.1,0.2,29,0.15028034206429025,0.10344827586206896,platt
0.2,0.30000000000000004,11,0.2337294479482993,0.18181818181818182,platt
0.30000000000000004,0.4,12,0.3490511074137908,0.0,platt
0.4,0.5,17,0.44163751498227566,0.058823529411764705,platt
0.5,0.6000000000000001,12,0.5409922593095489,0.08333333333333333,platt
0.6000000000000001,0.7000000000000001,15,0.6447345523141947,0.06666666666666667,platt
0.7000000000000001,0.8,17,0.7507134462529317,0.23529411764705882,platt
0.8,0.9,36,0.860612733811045,0.5555555555555556,platt
0.9,1.0,170,0.9183382123615361,0.9529411764705882,platt
0.0,0.1,158156,0.00021032211537432997,0.0002782063279293862,isotonic
0.1,0.2,40,0.14375431980954653,0.125,isotonic
0.2,0.30000000000000004,64,0.24995543584997085,0.078125,isotonic
0.30000000000000004,0.4,2,0.3226814213308957,0.0,isotonic
0.4,0.5,44,0.4206773078758139,0.5454545454545454,isotonic
0.5,0.6000000000000001,3,0.5,0.6666666666666666,isotonic
0.8,0.9,8,0.8333333333333334,0.625,isotonic
0.9,1.0,157,0.9948887316190926,0.9745222929936306,isotonic
